ID	Emoji	Code	Hex	Decimal	HTML entity hex	HTML entity decimal	URL encode	JS encode	Markdown	Name (English)
635	🧑🏿‍🦳	U+1F9D1 U+1F3FF U+200D U+1F9B3	1F9D1 1F3FF 200D 1F9B3	129489 127999 8205 129459	&#x1F9D1;&#x1F3FF;&#x200D;&#x1F9B3;	&#129489;&#127999;&#8205;&#129459;	%F0%9F%A7%91%F0%9F%8F%BF%E2%80%8D%F0%9F%A6%B3	\ud83e\uddd1\ud83c\udfff\u200d\ud83e\uddb3		person: dark skin tone, white hair
636	🧒	U+1F9D2	1F9D2	129490	&#x1F9D2;	&#129490;	%F0%9F%A7%92	\ud83e\uddd2	:child:	child
637	🧒🏻	U+1F9D2 U+1F3FB	1F9D2 1F3FB	129490 127995	&#x1F9D2;&#x1F3FB;	&#129490;&#127995;	%F0%9F%A7%92%F0%9F%8F%BB	\ud83e\uddd2\ud83c\udffb		child: light skin tone
638	🧒🏼	U+1F9D2 U+1F3FC	1F9D2 1F3FC	129490 127996	&#x1F9D2;&#x1F3FC;	&#129490;&#127996;	%F0%9F%A7%92%F0%9F%8F%BC	\ud83e\uddd2\ud83c\udffc		child: medium-light skin tone
639	🧒🏽	U+1F9D2 U+1F3FD	1F9D2 1F3FD	129490 127997	&#x1F9D2;&#x1F3FD;	&#129490;&#127997;	%F0%9F%A7%92%F0%9F%8F%BD	\ud83e\uddd2\ud83c\udffd		child: medium skin tone
640	🧒🏾	U+1F9D2 U+1F3FE	1F9D2 1F3FE	129490 127998	&#x1F9D2;&#x1F3FE;	&#129490;&#127998;	%F0%9F%A7%92%F0%9F%8F%BE	\ud83e\uddd2\ud83c\udffe		child: medium-dark skin tone
641	🧒🏿	U+1F9D2 U+1F3FF	1F9D2 1F3FF	129490 127999	&#x1F9D2;&#x1F3FF;	&#129490;&#127999;	%F0%9F%A7%92%F0%9F%8F%BF	\ud83e\uddd2\ud83c\udfff		child: dark skin tone
642	🧓	U+1F9D3	1F9D3	129491	&#x1F9D3;	&#129491;	%F0%9F%A7%93	\ud83e\uddd3	:older_adult:	older person
643	🧓🏻	U+1F9D3 U+1F3FB	1F9D3 1F3FB	129491 127995	&#x1F9D3;&#x1F3FB;	&#129491;&#127995;	%F0%9F%A7%93%F0%9F%8F%BB	\ud83e\uddd3\ud83c\udffb		older person: light skin tone
644	🧓🏼	U+1F9D3 U+1F3FC	1F9D3 1F3FC	129491 127996	&#x1F9D3;&#x1F3FC;	&#129491;&#127996;	%F0%9F%A7%93%F0%9F%8F%BC	\ud83e\uddd3\ud83c\udffc		older person: medium-light skin tone
645	🧓🏽	U+1F9D3 U+1F3FD	1F9D3 1F3FD	129491 127997	&#x1F9D3;&#x1F3FD;	&#129491;&#127997;	%F0%9F%A7%93%F0%9F%8F%BD	\ud83e\uddd3\ud83c\udffd		older person: medium skin tone
