ID	Emoji	Code	Hex	Decimal	HTML entity hex	HTML entity decimal	URL encode	JS encode	Markdown	Name (English)
1991	🏌️‍♂️	U+1F3CC U+FE0F U+200D U+2642 U+FE0F	1F3CC FE0F 200D 2642 FE0F	127948 65039 8205 9794 65039	&#x1F3CC;&#xFE0F;&#x200D;&#x2642;&#xFE0F;	&#127948;&#65039;&#8205;&#9794;&#65039;	%F0%9F%8F%8C%EF%B8%8F%E2%80%8D%E2%99%82%EF%B8%8F	\ud83c\udfcc\ufe0f\u200d\u2642\ufe0f		man golfing
1992	🏌🏻	U+1F3CC U+1F3FB	1F3CC 1F3FB	127948 127995	&#x1F3CC;&#x1F3FB;	&#127948;&#127995;	%F0%9F%8F%8C%F0%9F%8F%BB	\ud83c\udfcc\ud83c\udffb		person golfing: light skin tone
1993	🏌🏻‍♀️	U+1F3CC U+1F3FB U+200D U+2640 U+FE0F	1F3CC 1F3FB 200D 2640 FE0F	127948 127995 8205 9792 65039	&#x1F3CC;&#x1F3FB;&#x200D;&#x2640;&#xFE0F;	&#127948;&#127995;&#8205;&#9792;&#65039;	%F0%9F%8F%8C%F0%9F%8F%BB%E2%80%8D%E2%99%80%EF%B8%8F	\ud83c\udfcc\ud83c\udffb\u200d\u2640\ufe0f		woman golfing: light skin tone
1994	🏌🏻‍♂️	U+1F3CC U+1F3FB U+200D U+2642 U+FE0F	1F3CC 1F3FB 200D 2642 FE0F	127948 127995 8205 9794 65039	&#x1F3CC;&#x1F3FB;&#x200D;&#x2642;&#xFE0F;	&#127948;&#127995;&#8205;&#9794;&#65039;	%F0%9F%8F%8C%F0%9F%8F%BB%E2%80%8D%E2%99%82%EF%B8%8F	\ud83c\udfcc\ud83c\udffb\u200d\u2642\ufe0f		man golfing: light skin tone
1995	🏌🏼	U+1F3CC U+1F3FC	1F3CC 1F3FC	127948 127996	&#x1F3CC;&#x1F3FC;	&#127948;&#127996;	%F0%9F%8F%8C%F0%9F%8F%BC	\ud83c\udfcc\ud83c\udffc		person golfing: medium-light skin tone
1996	🏌🏼‍♀️	U+1F3CC U+1F3FC U+200D U+2640 U+FE0F	1F3CC 1F3FC 200D 2640 FE0F	127948 127996 8205 9792 65039	&#x1F3CC;&#x1F3FC;&#x200D;&#x2640;&#xFE0F;	&#127948;&#127996;&#8205;&#9792;&#65039;	%F0%9F%8F%8C%F0%9F%8F%BC%E2%80%8D%E2%99%80%EF%B8%8F	\ud83c\udfcc\ud83c\udffc\u200d\u2640\ufe0f		woman golfing: medium-light skin tone
1997	🏌🏼‍♂️	U+1F3CC U+1F3FC U+200D U+2642 U+FE0F	1F3CC 1F3FC 200D 2642 FE0F	127948 127996 8205 9794 65039	&#x1F3CC;&#x1F3FC;&#x200D;&#x2642;&#xFE0F;	&#127948;&#127996;&#8205;&#9794;&#65039;	%F0%9F%8F%8C%F0%9F%8F%BC%E2%80%8D%E2%99%82%EF%B8%8F	\ud83c\udfcc\ud83c\udffc\u200d\u2642\ufe0f		man golfing: medium-light skin tone
1998	🏌🏽	U+1F3CC U+1F3FD	1F3CC 1F3FD	127948 127997	&#x1F3CC;&#x1F3FD;	&#127948;&#127997;	%F0%9F%8F%8C%F0%9F%8F%BD	\ud83c\udfcc\ud83c\udffd		person golfing: medium skin tone
1999	🏌🏽‍♀️	U+1F3CC U+1F3FD U+200D U+2640 U+FE0F	1F3CC 1F3FD 200D 2640 FE0F	127948 127997 8205 9792 65039	&#x1F3CC;&#x1F3FD;&#x200D;&#x2640;&#xFE0F;	&#127948;&#127997;&#8205;&#9792;&#65039;	%F0%9F%8F%8C%F0%9F%8F%BD%E2%80%8D%E2%99%80%EF%B8%8F	\ud83c\udfcc\ud83c\udffd\u200d\u2640\ufe0f		woman golfing: medium skin tone
2000	🏌🏽‍♂️	U+1F3CC U+1F3FD U+200D U+2642 U+FE0F	1F3CC 1F3FD 200D 2642 FE0F	127948 127997 8205 9794 65039	&#x1F3CC;&#x1F3FD;&#x200D;&#x2642;&#xFE0F;	&#127948;&#127997;&#8205;&#9794;&#65039;	%F0%9F%8F%8C%F0%9F%8F%BD%E2%80%8D%E2%99%82%EF%B8%8F	\ud83c\udfcc\ud83c\udffd\u200d\u2642\ufe0f		man golfing: medium skin tone
2001	🏌🏾	U+1F3CC U+1F3FE	1F3CC 1F3FE	127948 127998	&#x1F3CC;&#x1F3FE;	&#127948;&#127998;	%F0%9F%8F%8C%F0%9F%8F%BE	\ud83c\udfcc\ud83c\udffe		person golfing: medium-dark skin tone
2002	🏌🏾‍♀️	U+1F3CC U+1F3FE U+200D U+2640 U+FE0F	1F3CC 1F3FE 200D 2640 FE0F	127948 127998 8205 9792 65039	&#x1F3CC;&#x1F3FE;&#x200D;&#x2640;&#xFE0F;	&#127948;&#127998;&#8205;&#9792;&#65039;	%F0%9F%8F%8C%F0%9F%8F%BE%E2%80%8D%E2%99%80%EF%B8%8F	\ud83c\udfcc\ud83c\udffe\u200d\u2640\ufe0f		woman golfing: medium-dark skin tone
2003	🏌🏾‍♂️	U+1F3CC U+1F3FE U+200D U+2642 U+FE0F	1F3CC 1F3FE 200D 2642 FE0F	127948 127998 8205 9794 65039	&#x1F3CC;&#x1F3FE;&#x200D;&#x2642;&#xFE0F;	&#127948;&#127998;&#8205;&#9794;&#65039;	%F0%9F%8F%8C%F0%9F%8F%BE%E2%80%8D%E2%99%82%EF%B8%8F	\ud83c\udfcc\ud83c\udffe\u200d\u2642\ufe0f		man golfing: medium-dark skin tone
2004	🏌🏿	U+1F3CC U+1F3FF	1F3CC 1F3FF	127948 127999	&#x1F3CC;&#x1F3FF;	&#127948;&#127999;	%F0%9F%8F%8C%F0%9F%8F%BF	\ud83c\udfcc\ud83c\udfff		person golfing: dark skin tone
2005	🏌🏿‍♀️	U+1F3CC U+1F3FF U+200D U+2640 U+FE0F	1F3CC 1F3FF 200D 2640 FE0F	127948 127999 8205 9792 65039	&#x1F3CC;&#x1F3FF;&#x200D;&#x2640;&#xFE0F;	&#127948;&#127999;&#8205;&#9792;&#65039;	%F0%9F%8F%8C%F0%9F%8F%BF%E2%80%8D%E2%99%80%EF%B8%8F	\ud83c\udfcc\ud83c\udfff\u200d\u2640\ufe0f		woman golfing: dark skin tone
2006	🏌🏿‍♂️	U+1F3CC U+1F3FF U+200D U+2642 U+FE0F	1F3CC 1F3FF 200D 2642 FE0F	127948 127999 8205 9794 65039	&#x1F3CC;&#x1F3FF;&#x200D;&#x2642;&#xFE0F;	&#127948;&#127999;&#8205;&#9794;&#65039;	%F0%9F%8F%8C%F0%9F%8F%BF%E2%80%8D%E2%99%82%EF%B8%8F	\ud83c\udfcc\ud83c\udfff\u200d\u2642\ufe0f		man golfing: dark skin tone
2007	👨🏻‍🫯‍👨🏼	U+1F468 U+1F3FB U+200D U+1FAEF U+200D U+1F468 U+1F3FC	1F468 1F3FB 200D 1FAEF 200D 1F468 1F3FC	128104 127995 8205 129775 8205 128104 127996	&#x1F468;&#x1F3FB;&#x200D;&#x1FAEF;&#x200D;&#x1F468;&#x1F3FC;	&#128104;&#127995;&#8205;&#129775;&#8205;&#128104;&#127996;	%F0%9F%91%A8%F0%9F%8F%BB%E2%80%8D%F0%9F%AB%AF%E2%80%8D%F0%9F%91%A8%F0%9F%8F%BC	\ud83d\udc68\ud83c\udffb\u200d\ud83e\udeef\u200d\ud83d\udc68\ud83c\udffc		men wrestling: light skin tone, medium-light skin tone
2008	👨🏻‍🫯‍👨🏽	U+1F468 U+1F3FB U+200D U+1FAEF U+200D U+1F468 U+1F3FD	1F468 1F3FB 200D 1FAEF 200D 1F468 1F3FD	128104 127995 8205 129775 8205 128104 127997	&#x1F468;&#x1F3FB;&#x200D;&#x1FAEF;&#x200D;&#x1F468;&#x1F3FD;	&#128104;&#127995;&#8205;&#129775;&#8205;&#128104;&#127997;	%F0%9F%91%A8%F0%9F%8F%BB%E2%80%8D%F0%9F%AB%AF%E2%80%8D%F0%9F%91%A8%F0%9F%8F%BD	\ud83d\udc68\ud83c\udffb\u200d\ud83e\udeef\u200d\ud83d\udc68\ud83c\udffd		men wrestling: light skin tone, medium skin tone
2009	👨🏻‍🫯‍👨🏾	U+1F468 U+1F3FB U+200D U+1FAEF U+200D U+1F468 U+1F3FE	1F468 1F3FB 200D 1FAEF 200D 1F468 1F3FE	128104 127995 8205 129775 8205 128104 127998	&#x1F468;&#x1F3FB;&#x200D;&#x1FAEF;&#x200D;&#x1F468;&#x1F3FE;	&#128104;&#127995;&#8205;&#129775;&#8205;&#128104;&#127998;	%F0%9F%91%A8%F0%9F%8F%BB%E2%80%8D%F0%9F%AB%AF%E2%80%8D%F0%9F%91%A8%F0%9F%8F%BE	\ud83d\udc68\ud83c\udffb\u200d\ud83e\udeef\u200d\ud83d\udc68\ud83c\udffe		men wrestling: light skin tone, medium-dark skin tone
2010	👨🏻‍🫯‍👨🏿	U+1F468 U+1F3FB U+200D U+1FAEF U+200D U+1F468 U+1F3FF	1F468 1F3FB 200D 1FAEF 200D 1F468 1F3FF	128104 127995 8205 129775 8205 128104 127999	&#x1F468;&#x1F3FB;&#x200D;&#x1FAEF;&#x200D;&#x1F468;&#x1F3FF;	&#128104;&#127995;&#8205;&#129775;&#8205;&#128104;&#127999;	%F0%9F%91%A8%F0%9F%8F%BB%E2%80%8D%F0%9F%AB%AF%E2%80%8D%F0%9F%91%A8%F0%9F%8F%BF	\ud83d\udc68\ud83c\udffb\u200d\ud83e\udeef\u200d\ud83d\udc68\ud83c\udfff		men wrestling: light skin tone, dark skin tone
2011	👨🏼‍🫯‍👨🏻	U+1F468 U+1F3FC U+200D U+1FAEF U+200D U+1F468 U+1F3FB	1F468 1F3FC 200D 1FAEF 200D 1F468 1F3FB	128104 127996 8205 129775 8205 128104 127995	&#x1F468;&#x1F3FC;&#x200D;&#x1FAEF;&#x200D;&#x1F468;&#x1F3FB;	&#128104;&#127996;&#8205;&#129775;&#8205;&#128104;&#127995;	%F0%9F%91%A8%F0%9F%8F%BC%E2%80%8D%F0%9F%AB%AF%E2%80%8D%F0%9F%91%A8%F0%9F%8F%BB	\ud83d\udc68\ud83c\udffc\u200d\ud83e\udeef\u200d\ud83d\udc68\ud83c\udffb		men wrestling: medium-light skin tone, light skin tone
2012	👨🏼‍🫯‍👨🏽	U+1F468 U+1F3FC U+200D U+1FAEF U+200D U+1F468 U+1F3FD	1F468 1F3FC 200D 1FAEF 200D 1F468 1F3FD	128104 127996 8205 129775 8205 128104 127997	&#x1F468;&#x1F3FC;&#x200D;&#x1FAEF;&#x200D;&#x1F468;&#x1F3FD;	&#128104;&#127996;&#8205;&#129775;&#8205;&#128104;&#127997;	%F0%9F%91%A8%F0%9F%8F%BC%E2%80%8D%F0%9F%AB%AF%E2%80%8D%F0%9F%91%A8%F0%9F%8F%BD	\ud83d\udc68\ud83c\udffc\u200d\ud83e\udeef\u200d\ud83d\udc68\ud83c\udffd		men wrestling: medium-light skin tone, medium skin tone
2013	👨🏼‍🫯‍👨🏾	U+1F468 U+1F3FC U+200D U+1FAEF U+200D U+1F468 U+1F3FE	1F468 1F3FC 200D 1FAEF 200D 1F468 1F3FE	128104 127996 8205 129775 8205 128104 127998	&#x1F468;&#x1F3FC;&#x200D;&#x1FAEF;&#x200D;&#x1F468;&#x1F3FE;	&#128104;&#127996;&#8205;&#129775;&#8205;&#128104;&#127998;	%F0%9F%91%A8%F0%9F%8F%BC%E2%80%8D%F0%9F%AB%AF%E2%80%8D%F0%9F%91%A8%F0%9F%8F%BE	\ud83d\udc68\ud83c\udffc\u200d\ud83e\udeef\u200d\ud83d\udc68\ud83c\udffe		men wrestling: medium-light skin tone, medium-dark skin tone
2014	👨🏼‍🫯‍👨🏿	U+1F468 U+1F3FC U+200D U+1FAEF U+200D U+1F468 U+1F3FF	1F468 1F3FC 200D 1FAEF 200D 1F468 1F3FF	128104 127996 8205 129775 8205 128104 127999	&#x1F468;&#x1F3FC;&#x200D;&#x1FAEF;&#x200D;&#x1F468;&#x1F3FF;	&#128104;&#127996;&#8205;&#129775;&#8205;&#128104;&#127999;	%F0%9F%91%A8%F0%9F%8F%BC%E2%80%8D%F0%9F%AB%AF%E2%80%8D%F0%9F%91%A8%F0%9F%8F%BF	\ud83d\udc68\ud83c\udffc\u200d\ud83e\udeef\u200d\ud83d\udc68\ud83c\udfff		men wrestling: medium-light skin tone, dark skin tone
2015	👨🏽‍🫯‍👨🏻	U+1F468 U+1F3FD U+200D U+1FAEF U+200D U+1F468 U+1F3FB	1F468 1F3FD 200D 1FAEF 200D 1F468 1F3FB	128104 127997 8205 129775 8205 128104 127995	&#x1F468;&#x1F3FD;&#x200D;&#x1FAEF;&#x200D;&#x1F468;&#x1F3FB;	&#128104;&#127997;&#8205;&#129775;&#8205;&#128104;&#127995;	%F0%9F%91%A8%F0%9F%8F%BD%E2%80%8D%F0%9F%AB%AF%E2%80%8D%F0%9F%91%A8%F0%9F%8F%BB	\ud83d\udc68\ud83c\udffd\u200d\ud83e\udeef\u200d\ud83d\udc68\ud83c\udffb		men wrestling: medium skin tone, light skin tone
2016	👨🏽‍🫯‍👨🏼	U+1F468 U+1F3FD U+200D U+1FAEF U+200D U+1F468 U+1F3FC	1F468 1F3FD 200D 1FAEF 200D 1F468 1F3FC	128104 127997 8205 129775 8205 128104 127996	&#x1F468;&#x1F3FD;&#x200D;&#x1FAEF;&#x200D;&#x1F468;&#x1F3FC;	&#128104;&#127997;&#8205;&#129775;&#8205;&#128104;&#127996;	%F0%9F%91%A8%F0%9F%8F%BD%E2%80%8D%F0%9F%AB%AF%E2%80%8D%F0%9F%91%A8%F0%9F%8F%BC	\ud83d\udc68\ud83c\udffd\u200d\ud83e\udeef\u200d\ud83d\udc68\ud83c\udffc		men wrestling: medium skin tone, medium-light skin tone
2017	👨🏽‍🫯‍👨🏾	U+1F468 U+1F3FD U+200D U+1FAEF U+200D U+1F468 U+1F3FE	1F468 1F3FD 200D 1FAEF 200D 1F468 1F3FE	128104 127997 8205 129775 8205 128104 127998	&#x1F468;&#x1F3FD;&#x200D;&#x1FAEF;&#x200D;&#x1F468;&#x1F3FE;	&#128104;&#127997;&#8205;&#129775;&#8205;&#128104;&#127998;	%F0%9F%91%A8%F0%9F%8F%BD%E2%80%8D%F0%9F%AB%AF%E2%80%8D%F0%9F%91%A8%F0%9F%8F%BE	\ud83d\udc68\ud83c\udffd\u200d\ud83e\udeef\u200d\ud83d\udc68\ud83c\udffe		men wrestling: medium skin tone, medium-dark skin tone
2018	👨🏽‍🫯‍👨🏿	U+1F468 U+1F3FD U+200D U+1FAEF U+200D U+1F468 U+1F3FF	1F468 1F3FD 200D 1FAEF 200D 1F468 1F3FF	128104 127997 8205 129775 8205 128104 127999	&#x1F468;&#x1F3FD;&#x200D;&#x1FAEF;&#x200D;&#x1F468;&#x1F3FF;	&#128104;&#127997;&#8205;&#129775;&#8205;&#128104;&#127999;	%F0%9F%91%A8%F0%9F%8F%BD%E2%80%8D%F0%9F%AB%AF%E2%80%8D%F0%9F%91%A8%F0%9F%8F%BF	\ud83d\udc68\ud83c\udffd\u200d\ud83e\udeef\u200d\ud83d\udc68\ud83c\udfff		men wrestling: medium skin tone, dark skin tone
2019	👨🏾‍🫯‍👨🏻	U+1F468 U+1F3FE U+200D U+1FAEF U+200D U+1F468 U+1F3FB	1F468 1F3FE 200D 1FAEF 200D 1F468 1F3FB	128104 127998 8205 129775 8205 128104 127995	&#x1F468;&#x1F3FE;&#x200D;&#x1FAEF;&#x200D;&#x1F468;&#x1F3FB;	&#128104;&#127998;&#8205;&#129775;&#8205;&#128104;&#127995;	%F0%9F%91%A8%F0%9F%8F%BE%E2%80%8D%F0%9F%AB%AF%E2%80%8D%F0%9F%91%A8%F0%9F%8F%BB	\ud83d\udc68\ud83c\udffe\u200d\ud83e\udeef\u200d\ud83d\udc68\ud83c\udffb		men wrestling: medium-dark skin tone, light skin tone
2020	👨🏾‍🫯‍👨🏼	U+1F468 U+1F3FE U+200D U+1FAEF U+200D U+1F468 U+1F3FC	1F468 1F3FE 200D 1FAEF 200D 1F468 1F3FC	128104 127998 8205 129775 8205 128104 127996	&#x1F468;&#x1F3FE;&#x200D;&#x1FAEF;&#x200D;&#x1F468;&#x1F3FC;	&#128104;&#127998;&#8205;&#129775;&#8205;&#128104;&#127996;	%F0%9F%91%A8%F0%9F%8F%BE%E2%80%8D%F0%9F%AB%AF%E2%80%8D%F0%9F%91%A8%F0%9F%8F%BC	\ud83d\udc68\ud83c\udffe\u200d\ud83e\udeef\u200d\ud83d\udc68\ud83c\udffc		men wrestling: medium-dark skin tone, medium-light skin tone
2021	👨🏾‍🫯‍👨🏽	U+1F468 U+1F3FE U+200D U+1FAEF U+200D U+1F468 U+1F3FD	1F468 1F3FE 200D 1FAEF 200D 1F468 1F3FD	128104 127998 8205 129775 8205 128104 127997	&#x1F468;&#x1F3FE;&#x200D;&#x1FAEF;&#x200D;&#x1F468;&#x1F3FD;	&#128104;&#127998;&#8205;&#129775;&#8205;&#128104;&#127997;	%F0%9F%91%A8%F0%9F%8F%BE%E2%80%8D%F0%9F%AB%AF%E2%80%8D%F0%9F%91%A8%F0%9F%8F%BD	\ud83d\udc68\ud83c\udffe\u200d\ud83e\udeef\u200d\ud83d\udc68\ud83c\udffd		men wrestling: medium-dark skin tone, medium skin tone
2022	👨🏾‍🫯‍👨🏿	U+1F468 U+1F3FE U+200D U+1FAEF U+200D U+1F468 U+1F3FF	1F468 1F3FE 200D 1FAEF 200D 1F468 1F3FF	128104 127998 8205 129775 8205 128104 127999	&#x1F468;&#x1F3FE;&#x200D;&#x1FAEF;&#x200D;&#x1F468;&#x1F3FF;	&#128104;&#127998;&#8205;&#129775;&#8205;&#128104;&#127999;	%F0%9F%91%A8%F0%9F%8F%BE%E2%80%8D%F0%9F%AB%AF%E2%80%8D%F0%9F%91%A8%F0%9F%8F%BF	\ud83d\udc68\ud83c\udffe\u200d\ud83e\udeef\u200d\ud83d\udc68\ud83c\udfff		men wrestling: medium-dark skin tone, dark skin tone
2023	👨🏿‍🫯‍👨🏻	U+1F468 U+1F3FF U+200D U+1FAEF U+200D U+1F468 U+1F3FB	1F468 1F3FF 200D 1FAEF 200D 1F468 1F3FB	128104 127999 8205 129775 8205 128104 127995	&#x1F468;&#x1F3FF;&#x200D;&#x1FAEF;&#x200D;&#x1F468;&#x1F3FB;	&#128104;&#127999;&#8205;&#129775;&#8205;&#128104;&#127995;	%F0%9F%91%A8%F0%9F%8F%BF%E2%80%8D%F0%9F%AB%AF%E2%80%8D%F0%9F%91%A8%F0%9F%8F%BB	\ud83d\udc68\ud83c\udfff\u200d\ud83e\udeef\u200d\ud83d\udc68\ud83c\udffb		men wrestling: dark skin tone, light skin tone
2024	👨🏿‍🫯‍👨🏼	U+1F468 U+1F3FF U+200D U+1FAEF U+200D U+1F468 U+1F3FC	1F468 1F3FF 200D 1FAEF 200D 1F468 1F3FC	128104 127999 8205 129775 8205 128104 127996	&#x1F468;&#x1F3FF;&#x200D;&#x1FAEF;&#x200D;&#x1F468;&#x1F3FC;	&#128104;&#127999;&#8205;&#129775;&#8205;&#128104;&#127996;	%F0%9F%91%A8%F0%9F%8F%BF%E2%80%8D%F0%9F%AB%AF%E2%80%8D%F0%9F%91%A8%F0%9F%8F%BC	\ud83d\udc68\ud83c\udfff\u200d\ud83e\udeef\u200d\ud83d\udc68\ud83c\udffc		men wrestling: dark skin tone, medium-light skin tone
2025	👨🏿‍🫯‍👨🏽	U+1F468 U+1F3FF U+200D U+1FAEF U+200D U+1F468 U+1F3FD	1F468 1F3FF 200D 1FAEF 200D 1F468 1F3FD	128104 127999 8205 129775 8205 128104 127997	&#x1F468;&#x1F3FF;&#x200D;&#x1FAEF;&#x200D;&#x1F468;&#x1F3FD;	&#128104;&#127999;&#8205;&#129775;&#8205;&#128104;&#127997;	%F0%9F%91%A8%F0%9F%8F%BF%E2%80%8D%F0%9F%AB%AF%E2%80%8D%F0%9F%91%A8%F0%9F%8F%BD	\ud83d\udc68\ud83c\udfff\u200d\ud83e\udeef\u200d\ud83d\udc68\ud83c\udffd		men wrestling: dark skin tone, medium skin tone
2026	👨🏿‍🫯‍👨🏾	U+1F468 U+1F3FF U+200D U+1FAEF U+200D U+1F468 U+1F3FE	1F468 1F3FF 200D 1FAEF 200D 1F468 1F3FE	128104 127999 8205 129775 8205 128104 127998	&#x1F468;&#x1F3FF;&#x200D;&#x1FAEF;&#x200D;&#x1F468;&#x1F3FE;	&#128104;&#127999;&#8205;&#129775;&#8205;&#128104;&#127998;	%F0%9F%91%A8%F0%9F%8F%BF%E2%80%8D%F0%9F%AB%AF%E2%80%8D%F0%9F%91%A8%F0%9F%8F%BE	\ud83d\udc68\ud83c\udfff\u200d\ud83e\udeef\u200d\ud83d\udc68\ud83c\udffe		men wrestling: dark skin tone, medium-dark skin tone
2027	👩🏻‍🫯‍👩🏼	U+1F469 U+1F3FB U+200D U+1FAEF U+200D U+1F469 U+1F3FC	1F469 1F3FB 200D 1FAEF 200D 1F469 1F3FC	128105 127995 8205 129775 8205 128105 127996	&#x1F469;&#x1F3FB;&#x200D;&#x1FAEF;&#x200D;&#x1F469;&#x1F3FC;	&#128105;&#127995;&#8205;&#129775;&#8205;&#128105;&#127996;	%F0%9F%91%A9%F0%9F%8F%BB%E2%80%8D%F0%9F%AB%AF%E2%80%8D%F0%9F%91%A9%F0%9F%8F%BC	\ud83d\udc69\ud83c\udffb\u200d\ud83e\udeef\u200d\ud83d\udc69\ud83c\udffc		women wrestling: light skin tone, medium-light skin tone
2028	👩🏻‍🫯‍👩🏽	U+1F469 U+1F3FB U+200D U+1FAEF U+200D U+1F469 U+1F3FD	1F469 1F3FB 200D 1FAEF 200D 1F469 1F3FD	128105 127995 8205 129775 8205 128105 127997	&#x1F469;&#x1F3FB;&#x200D;&#x1FAEF;&#x200D;&#x1F469;&#x1F3FD;	&#128105;&#127995;&#8205;&#129775;&#8205;&#128105;&#127997;	%F0%9F%91%A9%F0%9F%8F%BB%E2%80%8D%F0%9F%AB%AF%E2%80%8D%F0%9F%91%A9%F0%9F%8F%BD	\ud83d\udc69\ud83c\udffb\u200d\ud83e\udeef\u200d\ud83d\udc69\ud83c\udffd		women wrestling: light skin tone, medium skin tone
2029	👩🏻‍🫯‍👩🏾	U+1F469 U+1F3FB U+200D U+1FAEF U+200D U+1F469 U+1F3FE	1F469 1F3FB 200D 1FAEF 200D 1F469 1F3FE	128105 127995 8205 129775 8205 128105 127998	&#x1F469;&#x1F3FB;&#x200D;&#x1FAEF;&#x200D;&#x1F469;&#x1F3FE;	&#128105;&#127995;&#8205;&#129775;&#8205;&#128105;&#127998;	%F0%9F%91%A9%F0%9F%8F%BB%E2%80%8D%F0%9F%AB%AF%E2%80%8D%F0%9F%91%A9%F0%9F%8F%BE	\ud83d\udc69\ud83c\udffb\u200d\ud83e\udeef\u200d\ud83d\udc69\ud83c\udffe		women wrestling: light skin tone, medium-dark skin tone
2030	👩🏻‍🫯‍👩🏿	U+1F469 U+1F3FB U+200D U+1FAEF U+200D U+1F469 U+1F3FF	1F469 1F3FB 200D 1FAEF 200D 1F469 1F3FF	128105 127995 8205 129775 8205 128105 127999	&#x1F469;&#x1F3FB;&#x200D;&#x1FAEF;&#x200D;&#x1F469;&#x1F3FF;	&#128105;&#127995;&#8205;&#129775;&#8205;&#128105;&#127999;	%F0%9F%91%A9%F0%9F%8F%BB%E2%80%8D%F0%9F%AB%AF%E2%80%8D%F0%9F%91%A9%F0%9F%8F%BF	\ud83d\udc69\ud83c\udffb\u200d\ud83e\udeef\u200d\ud83d\udc69\ud83c\udfff		women wrestling: light skin tone, dark skin tone
2031	👩🏼‍🫯‍👩🏻	U+1F469 U+1F3FC U+200D U+1FAEF U+200D U+1F469 U+1F3FB	1F469 1F3FC 200D 1FAEF 200D 1F469 1F3FB	128105 127996 8205 129775 8205 128105 127995	&#x1F469;&#x1F3FC;&#x200D;&#x1FAEF;&#x200D;&#x1F469;&#x1F3FB;	&#128105;&#127996;&#8205;&#129775;&#8205;&#128105;&#127995;	%F0%9F%91%A9%F0%9F%8F%BC%E2%80%8D%F0%9F%AB%AF%E2%80%8D%F0%9F%91%A9%F0%9F%8F%BB	\ud83d\udc69\ud83c\udffc\u200d\ud83e\udeef\u200d\ud83d\udc69\ud83c\udffb		women wrestling: medium-light skin tone, light skin tone
2032	👩🏼‍🫯‍👩🏽	U+1F469 U+1F3FC U+200D U+1FAEF U+200D U+1F469 U+1F3FD	1F469 1F3FC 200D 1FAEF 200D 1F469 1F3FD	128105 127996 8205 129775 8205 128105 127997	&#x1F469;&#x1F3FC;&#x200D;&#x1FAEF;&#x200D;&#x1F469;&#x1F3FD;	&#128105;&#127996;&#8205;&#129775;&#8205;&#128105;&#127997;	%F0%9F%91%A9%F0%9F%8F%BC%E2%80%8D%F0%9F%AB%AF%E2%80%8D%F0%9F%91%A9%F0%9F%8F%BD	\ud83d\udc69\ud83c\udffc\u200d\ud83e\udeef\u200d\ud83d\udc69\ud83c\udffd		women wrestling: medium-light skin tone, medium skin tone
2033	👩🏼‍🫯‍👩🏾	U+1F469 U+1F3FC U+200D U+1FAEF U+200D U+1F469 U+1F3FE	1F469 1F3FC 200D 1FAEF 200D 1F469 1F3FE	128105 127996 8205 129775 8205 128105 127998	&#x1F469;&#x1F3FC;&#x200D;&#x1FAEF;&#x200D;&#x1F469;&#x1F3FE;	&#128105;&#127996;&#8205;&#129775;&#8205;&#128105;&#127998;	%F0%9F%91%A9%F0%9F%8F%BC%E2%80%8D%F0%9F%AB%AF%E2%80%8D%F0%9F%91%A9%F0%9F%8F%BE	\ud83d\udc69\ud83c\udffc\u200d\ud83e\udeef\u200d\ud83d\udc69\ud83c\udffe		women wrestling: medium-light skin tone, medium-dark skin tone
2034	👩🏼‍🫯‍👩🏿	U+1F469 U+1F3FC U+200D U+1FAEF U+200D U+1F469 U+1F3FF	1F469 1F3FC 200D 1FAEF 200D 1F469 1F3FF	128105 127996 8205 129775 8205 128105 127999	&#x1F469;&#x1F3FC;&#x200D;&#x1FAEF;&#x200D;&#x1F469;&#x1F3FF;	&#128105;&#127996;&#8205;&#129775;&#8205;&#128105;&#127999;	%F0%9F%91%A9%F0%9F%8F%BC%E2%80%8D%F0%9F%AB%AF%E2%80%8D%F0%9F%91%A9%F0%9F%8F%BF	\ud83d\udc69\ud83c\udffc\u200d\ud83e\udeef\u200d\ud83d\udc69\ud83c\udfff		women wrestling: medium-light skin tone, dark skin tone
2035	👩🏽‍🫯‍👩🏻	U+1F469 U+1F3FD U+200D U+1FAEF U+200D U+1F469 U+1F3FB	1F469 1F3FD 200D 1FAEF 200D 1F469 1F3FB	128105 127997 8205 129775 8205 128105 127995	&#x1F469;&#x1F3FD;&#x200D;&#x1FAEF;&#x200D;&#x1F469;&#x1F3FB;	&#128105;&#127997;&#8205;&#129775;&#8205;&#128105;&#127995;	%F0%9F%91%A9%F0%9F%8F%BD%E2%80%8D%F0%9F%AB%AF%E2%80%8D%F0%9F%91%A9%F0%9F%8F%BB	\ud83d\udc69\ud83c\udffd\u200d\ud83e\udeef\u200d\ud83d\udc69\ud83c\udffb		women wrestling: medium skin tone, light skin tone
